Date,ShareLink,ShareCommentary,SharedUrl,MediaUrl,Visibility
2025-06-12 16:28:07,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7338965337050099715,"Je suis pressé de vous retrouver, avec François Luc Moraud , au café IA au Node, la semaine prochaine !","","",MEMBER_NETWORK
2025-06-12 16:24:51,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7338964512722644996,Très heureux de travailler main dans la main avec Antoine Jeanjean et Bodic !,"","",MEMBER_NETWORK
2025-04-19 15:44:11,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7319385334260142082,"Il reste des places pour notre petit déjeuner ""Tech&Toast"", dans les locaux de PALO IT près du Louvres, ce jeudi 24 avril de 8h à 10h30 ! Sur la thématique ""DSI & IA : vers une collaboration augmentée"", nous vous dresserons un panorama des faits et défis émergents, et des solutions les plus courante. Nous pourrons ensuite échanger dans un cadre convivial et dans une ambiance décontractée.""
""""
""Ce thème vous intéresse ? Où vous souhaitez nous rencontrer et échanger autour de quelques viennoiseries et boissons chaudes ? Alors inscrivez-vous ici :""
""https://lnkd.in/eQ7GB3jB",https://www.eventbrite.fr/e/billets-techtoast-dsi-ia-vers-une-collaboration-augmentee-1316068308739?aff=oddtdtcreator,"",MEMBER_NETWORK
2025-02-24 09:33:11,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7299723026143563776,"C'est souvent étonnant comme de petits changements dans la manière de faire peut améliorer drastiquement les résultats. L'approche actuelle du travail avec les assistants de code AI, et avec l'AI d'une manière générale, est focalisée sur la génération et la revue de code. Je trouve cela très appréciable. Les résultats sont intéressants à court terme et sur une petite échelle.""
""Notre approche Gen-e2 m'a très vite intéressé pour une différence majeure: elle centre le travail sur l'humain plutôt que sur l'IA. C'est ce petit changement de philosophie qui engendre un shift opérationnel. Nous travaillons en mob programming, experts produit et UX inclus, et organisons notre environnement de travail afin réduire au maximum les boucles de feedback. En conséquence, une focalisation plus grande, des équipiers plus motivés et une suppression drastique des temps d'attente et des intermédiaires.""
""Les chiffres - x2 à x5 par rapport à une approche classique de développement - nous semblaient énormes et trop ambitieux il y a encore quelques mois. Les résultats sont tombés, et notre analyse s'est accrue : c'est en fait une conséquence logique de la qualité de travail et de projet, qui sont les fondamentaux de la méthode.","","",MEMBER_NETWORK
2024-12-04 16:12:16,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7270107651445829633,Je #recrute (#hiring). Connaissez-vous quelqu’un qui pourrait être intéressé ?,"","",MEMBER_NETWORK
2024-11-21 17:03:48,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7265409576810803200,"J'ai des collègues formidables. Est-ce que ça vous dirait d'en faire partie ?""
""""
""Depuis quelques années maintenant, je travail avec PALO IT. Mes collègues ont des convictions sur les logiciels, le software craftsmanship ou sur l'UX design, ce qui est normal.""
""""
""Et lorsqu'ils prennent une pause, de quoi parlent-ils le plus souvent ? De la dernière techno à la mode ? Ça arrive. Du dernier match de rugby ? Oui, assez souvent. Ces sujet en passionnent certains et d'autres écoutent d'une oreille distraite.""
""""
""En revanche, les conversations qui les rassemblent toujours tout le monde, et qui sont encore plus fréquentes, ce sont celles sur l'impact positif que nous cherchons à avoir sur la planète et la société.""
""""
""Nos projets clients, eux aussi, vont dans cette direction avec près de 60% du CA issu d'initiatives à impact. Cela veut dire que nous mesurons celui-ci en permanence, et c'est déjà une différence. Nous donnons aussi les capacités de se former sur ces sujets, d'intégrer de nouvelles formations et ateliers systématiquement suivis par tout le monde: accessibilité, numérique responsable, 2tonnes, etc.""
""""
""De nombreux collègues me parlent aussi de leurs engagement associatifs, pour le climat, l'insertion, le handicap, la formation... Et nous faisons notre possible pour qu'ils puissent y consacrer du temps dès que cela est nécessaire.""
""""
""En bref, nous nous donnons les moyens d'aller plus loin dans le #TechForGood, et chaque personne se voit responsabilisée pour contribuer à sa manière, de manière à maintenir ce cercle vertueux qui sert autant au salariés qu'aux clients.""
""""
""Ah ! Oui, nous recrutons en ce moment. Alors si vous aussi souhaitez mettre vos compétences au service de projets qui ont du sens, vous serez les bienvenus.""
""""
""Plutôt tech ? https://lnkd.in/dqaeKJWA""
""""
""Plutôt product design ? https://lnkd.in/dhZn4Qjb""
""""
""Cc Lionel MERCADE Catherine De Vaivre Vincent Desclaux Grégory Ott Julien Leroy Grégoire Hubert Séverin PELLEGRINI Benoit Foucque Jordan Coriton AURELIE DELAUNAY",https://www.welcometothejungle.com/fr/companies/palo-it/jobs/consultant-e-tech-confirme-e-senior_paris,"",MEMBER_NETWORK
2024-11-12 10:25:28,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7262047842997874689,"Pour cette dernière édition de BDX I/O, l'IA était au centre de toutes les discussions, et la keynote d'ouverture de Marie-Alice Blete (« LLMs, entre fantasme et réalité ») a posé le ton. J'ai adoré sa déconstruction des mythes autour des LLMs, à l'image d'un tuto RAG en 5 lignes de Python, commenté et amandé des considérations pour une mise en production.""
""""
""Voici un aperçu des conférences liées à l'IA auxquelles j'ai assisté :""
""• Zakaria Ournani avec « L'IA éco-responsable : Utopie marketing ou réalité ? » a fait un bon point sur les enjeux environnementaux de l'IA sur l'ensemble de son cycle de vie.""
""• Silvio Vasconcelos nous a invités à réfléchir avec « L'IA-assistance pour le développeur : symbiose ou substitution ? », concluant que penser que l'IA va nous remplacer, c'est nous diminuer.""
""• Hugo Vassard m'a donné envie d'expérimenter Gradio ce week-end avec sa présentation « Un ChatGPT sur vos propres données : comment ça marche ? ». Très complet sur le fonctionnement d'un RAG, les coûts et les bonnes pratiques.""
""• Nirina Rabeson a questionné la place des musiciens face à l'IA dans sa keynote de clôture « Si l'IA peut créer de la musique, à quoi servent les musiciens aujourd'hui ? ».""
""""
""Mention spéciale à Thanh Lan DOUBLIER et Emmanuelle ABOAF pour « L'IA et le handicap : progrès ou exclusion ? ». Une présentation nuancée et pleine d'humour qui rappelle l'importance de co-créer avec les personnes concernées : « Nothing about us without us ».""
""""
""N'oublions pas les excellentes intervention de Simon Bedard à propos des Shaders sur le web,  de Mathieu Corbin parlant de l'application de Karpenter chez Qonto ou Charles Bouttaz et Guillaume Ehret qui ont partagé des idées clés pour soutenir une croissance x10 d'une équipe tech dans leur « Rex scale-up, les impacts du passage à l'échelle »""
""""
""Merci à l'équipe BDX I/O pour un programme varié, alliant éthique, IA, scalabilité et software craftsmanship, des sujets au cœur de nos projets client PALO IT, et qui motivent ma veille continue et mes pratiques.","","",MEMBER_NETWORK
2024-10-31 17:06:44,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7257800172397629441,Merci aux orgas Agile Tour Bordeaux pour cette nouvelle réalisation !,"","",MEMBER_NETWORK
2024-10-31 13:53:23,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7257751514524303360,L'#agileTourBordeaux continue avec le forum ouvert,"","",MEMBER_NETWORK
2024-10-31 09:04:34,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7257678831291977728,Belle analogie sur la vision data d'une organisation partagée par Marc BAGUR 🤖⚡️🏭 à l'#AgileTourBodeaux,"","",MEMBER_NETWORK
